year,series,event_name,session_type,circuit,rider,team,grid_position,finish_position,points,status,number,time_gap
2022,MotoGP,GER,Race,GER,A. Dovizioso,WithU Yamaha RNF MotoGP Team,,14.0,2.0,Finished,4,+30.680
2022,MotoGP,GER,Race,GER,R. Gardner,Tech3 KTM Factory Racing,,15.0,1.0,Finished,87,+30.812
2022,MotoGP,GER,Race,GER,S. Bradl,Repsol Honda Team,,16.0,0.0,Finished,6,+52.040
2022,MotoGP,GER,Race,GER,P. Espargaro,Repsol Honda Team,,,0.0,DNF,44,22 laps
2022,MotoGP,GER,Race,GER,M. Viñales,Aprilia Racing,,,0.0,DNF,12,19 laps
2022,MotoGP,GER,Race,GER,A. Marquez,LCR Honda CASTROL,,,0.0,DNF,73,6 laps
2022,MotoGP,GER,Race,GER,T. Nakagami,LCR Honda IDEMITSU,,,0.0,DNF,30,6 laps
2022,MotoGP,GER,Race,GER,D. Binder,WithU Yamaha RNF MotoGP Team,,,0.0,DNF,40,5 laps
2022,MotoGP,GER,Race,GER,J. Mir,Team SUZUKI ECSTAR,,,0.0,DNF,36,3 laps
2022,MotoGP,GER,Race,GER,F. Bagnaia,Ducati Lenovo Team,,,0.0,DNF,63,3 laps
2022,MotoGP,INA,Race,INA,M. Oliveira,Red Bull KTM Factory Racing,,1.0,25.0,Finished,88,33:27.223
2022,MotoGP,INA,Race,INA,F. Quartararo,Monster Energy Yamaha MotoGP,,2.0,20.0,Finished,20,+2.205
2022,MotoGP,INA,Race,INA,J. Zarco,Prima Pramac Racing,,3.0,16.0,Finished,5,+3.158
2022,MotoGP,INA,Race,INA,J. Miller,Ducati Lenovo Team,,4.0,13.0,Finished,43,+5.663
2022,MotoGP,INA,Race,INA,A. Rins,Team SUZUKI ECSTAR,,5.0,11.0,Finished,42,+7.044
2022,MotoGP,INA,Race,INA,J. Mir,Team SUZUKI ECSTAR,,6.0,10.0,Finished,36,+7.832
2022,MotoGP,INA,Race,INA,F. Morbidelli,Monster Energy Yamaha MotoGP,,7.0,9.0,Finished,21,+21.115
2022,MotoGP,INA,Race,INA,B. Binder,Red Bull KTM Factory Racing,,8.0,8.0,Finished,33,+32.413
2022,MotoGP,INA,Race,INA,A. Espargaro,Aprilia Racing,,9.0,7.0,Finished,41,+32.586
2022,MotoGP,INA,Race,INA,D. Binder,WithU Yamaha RNF MotoGP Team,,10.0,6.0,Finished,40,+32.901
2022,MotoGP,INA,Race,INA,E. Bastianini,Gresini Racing MotoGP,,11.0,5.0,Finished,23,+33.116
2022,MotoGP,INA,Race,INA,P. Espargaro,Repsol Honda Team,,12.0,4.0,Finished,44,+33.599
2022,MotoGP,INA,Race,INA,A. Marquez,LCR Honda CASTROL,,13.0,3.0,Finished,73,+33.735
2022,MotoGP,INA,Race,INA,L. Marini,Mooney VR46 Racing Team,,14.0,2.0,Finished,10,+34.991
2022,MotoGP,INA,Race,INA,F. Bagnaia,Ducati Lenovo Team,,15.0,1.0,Finished,63,+35.763
